Variety,Year,Production,rPrice,Area,Colour,Country
Barbera,2001,663.2000008,881.8482666,79.29999822,Red,Italy
Barbera,2002,747.0299931,1209.118164,104.2827488,Red,Italy
Barbera,2003,784.0000092,1041.076172,111.3080512,Red,Italy
Barbera,2004,1007.6222,717.4592285,133.8186188,Red,Italy
Barbera,2005,1055.000008,970.2692871,110.1672008,Red,Italy
Barbera,2006,815.9000174,791.8638916,123.3672008,Red,Italy
Barbera,2007,466.852123,1066.455322,114.1154469,Red,Italy
Barbera,2008,1019.510009,1152.897705,120.1625988,Red,Italy
Barbera,2009,84.69999981,595.8212891,98.99532474,Red,Italy
Barbera,2010,744.3000079,1734.372314,106.9000004,Red,Italy
Barbera,2011,120.4049997,427.766449,92.88000053,Red,Italy
Barbera,2012,485.2800056,1021.110107,86.66000085,Red,Italy
Barbera,2013,6.829999924,0,81.36333387,Red,Italy
Barbera,2014,6.049999952,0,80.84666668,Red,Italy
Barbera,2015,636.8899919,1227.739136,84.59999986,Red,Italy
Barbera,2016,374.4959977,1936.557129,87.08913303,Red,Italy
Barbera,2017,446.3859886,2392.589844,93.57826725,Red,Italy
Barbera,2018,384.519006,2476.407959,99.06740136,Red,Italy
Barbera,2019,552.0769946,0,104.5565353,Red,Italy
Barbera,2020,516.931003,0,104.5565353,Red,Italy
Barbera,2021,499.4529971,1667.824707,115.5565353,Red,Italy
Barbera,2022,373.385996,1229.899414,117.5565353,Red,Italy
Barbera,2023,174.216,2646.459717,116.5565353,Red,Italy
Cabernet Franc,2001,5669.999993,2214.466064,671.1181486,Red,France
Cabernet Franc,2002,5288.210032,1700.427124,653.7851475,Red,France
Cabernet Franc,2003,4493.300019,1601.736084,697.0752523,Red,France
Cabernet Franc,2004,5563.003171,1285.657837,651.8876044,Red,France
Cabernet Franc,2005,4198.799975,1422.429932,547.2689485,Red,France
Cabernet Franc,2006,3845.500003,1150.787354,521.3771486,Red,France
Cabernet Franc,2007,2425.96409,1199.463867,503.3782227,Red,France
Cabernet Franc,2008,3335.440011,1376.444214,607.0075544,Red,France
Cabernet Franc,2009,1905.373849,1071.076294,542.6353301,Red,France
Cabernet Franc,2010,2182.200003,1182.353271,525.1999997,Red,France
Cabernet Franc,2011,1047.698193,1009.961365,517.4699974,Red,France
Cabernet Franc,2012,2003.829991,995.7759399,509.8500004,Red,France
Cabernet Franc,2013,987.1504679,1122.168457,433.5345016,Red,France
Cabernet Franc,2014,793.0222516,1024.163452,371.9589983,Red,France
Cabernet Franc,2015,1167.299994,1390.900635,322.509999,Red,France
Cabernet Franc,2016,893.1470036,1323.987183,322.8994574,Red,France
Cabernet Franc,2017,1148.933006,1636.866455,300.288912,Red,France
Cabernet Franc,2018,855.9410031,1730.102173,298.6783652,Red,France
Cabernet Franc,2019,1056.396,1820.998901,305.3396347,Red,France
Cabernet Franc,2020,450.9459975,1993.653809,295.3396347,Red,France
Cabernet Franc,2021,1038.858001,1953.097778,325.3396347,Red,France
Cabernet Franc,2022,959.9149951,1345.070557,313.3396347,Red,France
Cabernet Franc,2023,567.726,1655.884277,319.3396347,Red,France
Cabernet Sauvignon,2001,247695.9991,2203.99585,21632.22967,Red,France
Cabernet Sauvignon,2002,264041.6782,1829.599243,24556.99709,Red,France
Cabernet Sauvignon,2003,235993.1995,1646.720215,26522.26354,Red,France
Cabernet Sauvignon,2004,327976.254,1345.370239,27628.28508,Red,France
Cabernet Sauvignon,2005,291087.797,1092.660767,27997.59461,Red,France
Cabernet Sauvignon,2006,279097.1979,985.5339355,27731.21325,Red,France
Cabernet Sauvignon,2007,181051.2437,1091.957275,27989.8845,Red,France
Cabernet Sauvignon,2008,255096.9096,1332.421143,27907.40996,Red,France
Cabernet Sauvignon,2009,229301.4111,999.4534912,27223.5575,Red,France
Cabernet Sauvignon,2010,206080.3991,875.4353027,26441.3,Red,France
Cabernet Sauvignon,2011,195579.2907,738.0633545,26221.88494,Red,France
Cabernet Sauvignon,2012,196188.1693,865.1901855,26061.88006,Red,France
Cabernet Sauvignon,2013,207693.3627,925.5828857,25702.05009,Red,France
Cabernet Sauvignon,2014,202832.1715,785.824585,25383.52996,Red,France
Cabernet Sauvignon,2015,196489.3895,807.5316772,25030.01999,Red,France
Cabernet Sauvignon,2016,224117.6814,914.4819336,25271.24878,Red,France
Cabernet Sauvignon,2017,253313.4349,937.4507446,25625.11711,Red,France
Cabernet Sauvignon,2018,211405.528,994.8376465,26038.02168,Red,France
Cabernet Sauvignon,2019,228119.3964,1072.22876,26228.46378,Red,France
Cabernet Sauvignon,2020,202623.9193,1101.180664,26295.70285,Red,France
Cabernet Sauvignon,2021,275125.1017,995.5543213,26430.45313,Red,France
Cabernet Sauvignon,2022,223523.1044,827.6635132,26441.45313,Red,France
Cabernet Sauvignon,2023,137123.078,807.5343018,26739.45313,Red,France
Canada Muscat,2001,411.0999966,926.029541,38.59999843,White,United States
Canada Muscat,2002,555.9400059,860.4973755,39.94000098,White,United States
Canada Muscat,2003,287.0999996,722.9325562,24.59999968,White,United States
Canada Muscat,2004,107,696.6997681,0,White,United States
Canada Muscat,2005,209,602.1356201,0,White,United States
Canada Muscat,2006,0,0,0,White,United States
Canada Muscat,2007,0,0,0,White,United States
Canada Muscat,2008,59,656.8231201,0,White,United States
Canada Muscat,2009,923.8627319,530.852478,0,White,United States
Canada Muscat,2010,83,778.7536621,0,White,United States
Canada Muscat,2011,3453.368408,696.8762207,0,White,United States
Canada Muscat,2012,36,732.4203491,0,White,United States
Canada Muscat,2013,5608.423096,582.0579224,0,White,United States
Canada Muscat,2014,6867.235596,546.6417236,0,White,United States
Canada Muscat,2015,5542.070129,0,0,White,United States
Canada Muscat,2016,5862.396912,0,0,White,United States
Canada Muscat,2017,4185.790986,0,0,White,United States
Canada Muscat,2018,3726.360019,0,0,White,United States
Canada Muscat,2019,3493.07996,0,326.7033548,White,United States
Canada Muscat,2020,3066.200119,0,326.7033548,White,United States
Canada Muscat,2021,3005.430069,0,326.7033548,White,United States
Canada Muscat,2022,0,0,326.7033548,White,United States
Canada Muscat,2023,2820.56,422.8380127,326.7033548,White,United States
Chardonnay,2001,246827.7991,1680.421387,16684.63943,White,France
Chardonnay,2002,257747.7294,1639.203491,17754.38197,White,France
Chardonnay,2003,239663.1011,1801.209595,18564.84603,White,France
Chardonnay,2004,319963.9392,1752.567505,20715.64027,White,France
Chardonnay,2005,390784.5989,1344.980957,23742.66934,White,France
Chardonnay,2006,401339.0986,866.9869995,26710.79616,White,France
Chardonnay,2007,365576.5409,824.3344727,29696.87283,White,France
Chardonnay,2008,436841.6102,983.5318604,30769.12877,White,France
Chardonnay,2009,368950.9459,627.5009766,29650.19472,White,France
Chardonnay,2010,298634.7991,524.1600952,28144.69978,White,France
Chardonnay,2011,351027.2378,447.5775757,26982.71504,White,France
Chardonnay,2012,339470.5618,518.5250854,25674.37999,White,France
Chardonnay,2013,351994.2937,530.4684448,24673.5333,White,France
Chardonnay,2014,326383.4315,422.0688171,23648.43652,White,France
Chardonnay,2015,347863.12,432.7372742,22566.7398,White,France
Chardonnay,2016,358940.5958,506.9447021,22456.46023,White,France
Chardonnay,2017,317253.0799,531.6447754,22211.81919,White,France
Chardonnay,2018,346838.1489,548.2762451,22101.43762,White,France
Chardonnay,2019,319112.0313,596.6841431,21927.2529,White,France
Chardonnay,2020,258053.0799,590.7655029,21705.02771,White,France
Chardonnay,2021,343454.8562,635.1516724,21592.42352,White,France
Chardonnay,2022,324429.7841,599.5882568,21512.42352,White,France
Chardonnay,2023,230225.623,598.7002563,21454.42352,White,France
Chenin Blanc,2001,13954.99999,1052.119385,819.5121529,White,France
Chenin Blanc,2002,14163.34997,792.4321899,743.5080533,White,France
Chenin Blanc,2003,10510.10005,767.5795288,690.6121443,White,France
Chenin Blanc,2004,13645.81427,624.1536255,723.8792494,White,France
Chenin Blanc,2005,12214.3999,817.4231567,638.2753939,White,France
Chenin Blanc,2006,11660.29996,788.6741943,678.175396,White,France
Chenin Blanc,2007,8219.826328,803.9008789,665.8313683,White,France
Chenin Blanc,2008,9103.779948,903.9571533,632.8454076,White,France
Chenin Blanc,2009,10041.39652,986.6946411,558.9590691,White,France
Chenin Blanc,2010,6837.700074,733.1771851,535.7999941,White,France
Chenin Blanc,2011,5136.337135,679.9720459,517.6049952,White,France
Chenin Blanc,2012,6637.110022,619.5655518,510.0299921,White,France
Chenin Blanc,2013,5551.939637,735.9956055,487.9899895,White,France
Chenin Blanc,2014,5106.584552,671.3557739,461.8199988,White,France
Chenin Blanc,2015,9077.94291,546.7407837,449.660005,White,France
Chenin Blanc,2016,4851.990986,510.3867188,445.660005,White,France
Chenin Blanc,2017,4405.711034,501.6884766,440.660005,White,France
Chenin Blanc,2018,4544.504004,491.0915833,434.660005,White,France
Chenin Blanc,2019,4652.609082,646.7957153,420.660005,White,France
Chenin Blanc,2020,4003.697962,529.9769287,414.660005,White,France
Chenin Blanc,2021,4615.247994,678.8515015,419.660005,White,France
Chenin Blanc,2022,3952.599967,673.2322998,414.660005,White,France
Chenin Blanc,2023,3252.625,742.55896,410.660005,White,France
Colombard,2001,39828.79981,670.1653442,1570.689735,White,France
Colombard,2002,61422.06905,682.4961548,1803.142425,White,France
Colombard,2003,56272.69942,631.0408936,2051.746857,White,France
Colombard,2004,71094.18947,592.6552124,2322.592306,White,France
Colombard,2005,79489.60019,553.5906982,2324.912107,White,France
Colombard,2006,76391.69922,451.9966431,2427.112126,White,France
Colombard,2007,56287.59148,456.2377014,2577.044757,White,France
Colombard,2008,60373.9898,615.0158081,2510.808555,White,France
Colombard,2009,60944.45212,398.5157471,2368.318589,White,France
Colombard,2010,47033.69951,282.2195435,2244.100013,White,France
Colombard,2011,57107.3252,265.2348938,2139.599969,White,France
Colombard,2012,56891.14934,297.3968506,2044.580017,White,France
Colombard,2013,63390.96802,293.2866821,1979.220039,White,France
Colombard,2014,52044.57975,245.9773254,1904.85,White,France
Colombard,2015,57735.34799,243.8324127,1850.720022,White,France
Colombard,2016,47137.68786,254.5054626,1757.625631,White,France
Colombard,2017,55733.28743,280.2432556,1662.531225,White,France
Colombard,2018,48023.27091,296.6475525,1566.436819,White,France
Colombard,2019,45395.41797,323.2401733,1460.342428,White,France
Colombard,2020,42813.1827,364.7709045,1451.342428,White,France
Colombard,2021,48377.74931,364.7539368,1425.342428,White,France
Colombard,2022,43833.18794,350.5918579,1394.342428,White,France
Colombard,2023,35630.106,295.0983887,1386.342428,White,France
Crouchen,2001,1545.100025,810.1861572,59.86325065,White,France
Crouchen,2002,1922.429951,819.9483032,80.93324831,White,France
Crouchen,2003,1248.000025,789.4720459,70.46325001,White,France
Crouchen,2004,2359.992519,474.419342,88.0034875,White,France
Crouchen,2005,2180.100024,762.6154175,89.86325154,White,France
Crouchen,2006,1719.100024,773.0245361,88.56325153,White,France
Crouchen,2007,1932.170253,762.2576904,90.60799335,White,France
Crouchen,2008,2689.400095,729.6122437,105.1732471,White,France
Crouchen,2009,166.0826225,443.2796326,86.66324995,White,France
Crouchen,2010,2324.8,329.3653564,84.10000296,White,France
Crouchen,2011,497.0177002,479.7400208,0,White,France
Crouchen,2012,134,319.601593,0,White,France
Crouchen,2013,1175.689117,478.8364868,0,White,France
Crouchen,2014,442.3376465,398.6828918,0,White,France
Crouchen,2015,1628.889038,0,0,White,France
Crouchen,2016,1203.769958,0,0,White,France
Crouchen,2017,785.3999939,0,0,White,France
Crouchen,2018,845.1199799,0,0,White,France
Crouchen,2019,616.8399963,0,33.34786892,White,France
Crouchen,2020,755.8900146,0,33.34786892,White,France
Crouchen,2021,473.6799927,0,33.34786892,White,France
Crouchen,2022,0,0,33.34786892,White,France
Crouchen,2023,458.55,0,33.34786892,White,France
Cot,2001,3810.100017,1794.600952,367.7550492,Red,France
Cot,2002,2925.440002,1642.259277,367.8284918,Red,France
Cot,2003,3518.199998,1563.166748,415.644801,Red,France
Cot,2004,3503.541321,1204.592285,431.3255801,Red,France
Cot,2005,3400.199988,1380.862427,351.5753999,Red,France
Cot,2006,3181.899998,1059.357422,394.4162511,Red,France
Cot,2007,1817.214165,1410.701294,358.9456196,Red,France
Cot,2008,2627.849988,1474.957031,367.3068496,Red,France
Cot,2009,1113.497896,1173.349976,347.34125,Red,France
Cot,2010,2274.800002,1006.539856,355.7000005,Red,France
Cot,2011,1438.157772,920.0578613,361.0300001,Red,France
Cot,2012,2536.529996,919.6339722,377.5899984,Red,France
Cot,2013,1789.137722,995.972229,383.0899994,Red,France
Cot,2014,1843.121071,1035.16748,395.1499991,Red,France
Cot,2015,2931.539,1175.76355,421.67,Red,France
Cot,2016,5071.372021,1250.481689,516.9177264,Red,France
Cot,2017,5756.778995,1383.664185,547.1654552,Red,France
Cot,2018,3583.45201,1593.766846,581.413184,Red,France
Cot,2019,5458.088968,1603.63147,616.0246812,Red,France
Cot,2020,3341.64602,1969.766724,621.0246812,Red,France
Cot,2021,5827.231032,1449.110474,647.0246812,Red,France
Cot,2022,8840.501889,1020.217712,666.0246812,Red,France
Cot,2023,7384.879,1685.064331,594.0246812,Red,France
Dolcetto,2001,0,0,0,Red,Italy
Dolcetto,2002,0,0,0,Red,Italy
Dolcetto,2003,0,0,0,Red,Italy
Dolcetto,2004,46,2501.483887,0,Red,Italy
Dolcetto,2005,45,1964.748291,0,Red,Italy
Dolcetto,2006,0,0,0,Red,Italy
Dolcetto,2007,0,0,5,Red,Italy
Dolcetto,2008,0,0,5,Red,Italy
Dolcetto,2009,46.46624756,1044.027954,13,Red,Italy
Dolcetto,2010,1604.300021,0,146.9999977,Red,Italy
Dolcetto,2011,48.31893158,404.3346863,126.7849994,Red,Italy
Dolcetto,2012,1132.240029,0,115.2700002,Red,Italy
Dolcetto,2013,96.91739082,776.5219727,109.0233319,Red,Italy
Dolcetto,2014,37.34758425,1582.115845,102.8866664,Red,Italy
Dolcetto,2015,800.6919854,901.7677612,94.85999797,Red,Italy
Dolcetto,2016,806.6440068,896.2578125,96.58059695,Red,Italy
Dolcetto,2017,1080.298009,0,98.30119497,Red,Italy
Dolcetto,2018,827.0040109,0,100.0217921,Red,Italy
Dolcetto,2019,1203.565002,882.7926636,101.742389,Red,Italy
Dolcetto,2020,815.7409964,0,98.74238899,Red,Italy
Dolcetto,2021,887.4530013,664.244873,100.742389,Red,Italy
Dolcetto,2022,0,0,100.742389,Red,Italy
Dolcetto,2023,712.481,859.4379272,99.74238899,Red,Italy
Durif,2001,1487.000044,1175.491943,176.5264953,Red,France
Durif,2002,2950.179938,1149.045654,258.8917951,Red,France
Durif,2003,3220.70005,945.9255371,297.2591531,Red,France
Durif,2004,4058.759897,959.2401123,304.9787278,Red,France
Durif,2005,4758.40002,847.0482788,338.2774514,Red,France
Durif,2006,4320.400043,664.6317139,315.844803,Red,France
Durif,2007,4192.810111,868.3535767,411.9247516,Red,France
Durif,2008,5207.389985,834.7805786,412.6156529,Red,France
Durif,2009,3960.749379,832.5720215,398.8843251,Red,France
Durif,2010,4171.200039,540.1033325,408.4000069,Red,France
Durif,2011,3500.167446,468.4472351,426.3949892,Red,France
Durif,2012,3673.319929,527.3426514,449.390003,Red,France
Durif,2013,4746.502854,722.1135254,460.9933276,Red,France
Durif,2014,4048.468131,654.0063477,473.436678,Red,France
Durif,2015,6116.337817,579.7648315,489.2000023,Red,France
Durif,2016,5737.687868,594.3306274,566.2734038,Red,France
Durif,2017,8064.02111,644.6758423,645.3467727,Red,France
Durif,2018,7866.676209,713.8067017,721.4201425,Red,France
Durif,2019,10603.6209,820.755249,798.4935143,Red,France
Durif,2020,11577.28467,814.7086182,799.4935143,Red,France
Durif,2021,13921.64404,723.0946045,842.4935143,Red,France
Durif,2022,15147.75438,504.6304321,846.4935143,Red,France
Durif,2023,11384.357,350.3313293,840.4935143,Red,France
Fiano,2001,0,0,0,White,Italy
Fiano,2002,0,0,0,White,Italy
Fiano,2003,0,0,0,White,Italy
Fiano,2004,0,0,0,White,Italy
Fiano,2005,0,0,0,White,Italy
Fiano,2006,0,0,0,White,Italy
Fiano,2007,0,0,0,White,Italy
Fiano,2008,0,0,0,White,Italy
Fiano,2009,16.64964485,2301.824463,0,White,Italy
Fiano,2010,0,0,0,White,Italy
